Row,O1_AOC_open,O2_AOC_open,OZ_AOC_open,POZ_AOC_open,PO3_AOC_open,PO4_AOC_open,O1_AOC_closed,O2_AOC_closed,OZ_AOC_closed,POZ_AOC_closed,PO3_AOC_closed,PO4_AOC_closed
1015,0.486870611684142,0.459028171104469,0.449645957418049,0.170568400927429,0.326936093117916,0.335849260390736,0.351078664507343,0.318499465976181,0.309019902368046,0.150087235637355,0.245067325069527,0.207974491229225
1018,0.140263027172707,0.188934290327906,0.15896790925754,0.0799877187577148,0.107611427997414,0.159901176407875,0.681406132473294,0.65363052709756,0.663272329395511,0.17027687043163,0.484549510816322,0.496630958091412
1019,0.336161827906417,0.345569242369318,0.337620280870809,0.0524841348578261,0.208514368719154,0.269332255064184,0.31462836479981,0.437443664588469,0.359985682015868,0.135610215550274,0.21587461965284,0.330808028445829
1020,0.218809698914551,0.219482392672857,0.222984868383075,0.0461290950863853,0.150825754403805,0.163254217180929,0.108745856541778,0.120839882270305,0.110125240450079,0.0388268997735347,0.082656455312115,0.103271214033058
1021,0.265174826926492,0.362034102629226,0.352046432030478,0.107407361433374,0.18171337457137,0.190578736854402,0.474483897281897,0.511422318268072,0.509178197354718,0.169218625008863,0.317095263069196,0.402961443254757
1026,0.0704009218870121,0.0833160449492914,0.0843345376308052,0.0271491119211449,0.0483359261175846,0.0563940381910795,0.1050455062901,0.122016784052042,0.124541365096889,0.0222278256244638,0.0810907630123628,0.114263596595037
1027,0.456094036108687,0.469232873905149,0.468434221422718,0.0772666216124956,0.251408229194226,0.303222196260286,0.62873220228421,0.643903626080546,0.604410419923118,0.127008026334973,0.396631421837954,0.404817653362066
1030,0.476581495460354,0.464637945735692,0.499148870777021,0.0815752380241138,0.295278910901223,0.257733675312075,0.313536839007491,0.259474158990038,0.28172287554396,0.103001060898476,0.219813826536407,0.151589206753237
1033,0.299727676728573,0.309054627491584,0.290307254066115,0.17727141993437,0.241667562663299,0.258651259905292,0.224852149313885,0.179616050978368,0.188659202278323,0.103509613109053,0.192508750771855,0.144283663376726
1045,0.185563097852037,0.181721634064125,0.194667969245093,0.0529382018714371,0.141261415933459,0.138287021473606,0.181350582336147,0.182408520071686,0.181915974501949,0.0677465383299187,0.137647944380168,0.123476181353338
1046,0.206760472686764,0.250189967839428,0.226146477927141,0.154741325621891,0.158302129629733,0.164731365574121,0.173598910312326,0.176889393949414,0.163882890859533,0.158458010160199,0.141938891943452,0.138467336091002
1055,0.141082382372613,0.157358958452778,0.155155641763432,0.0683187565282608,0.101360552535812,0.0958354329147867,0.103328026413191,0.0984056210059714,0.104062736458552,0.0634536372985828,0.0900456849192642,0.064527901399124
1061,0.529621865665822,0.349705956510829,0.390328005111338,0.197910116242677,0.455862838190156,0.265953739469016,0.520489177859358,0.559777357000006,0.530217698253155,0.121047137008879,0.339393781906491,0.415853136710871
1063,0.355053680431762,0.341420251028705,0.340773417557064,0.101097449908263,0.296546762015077,0.272449395186431,0.423647676728063,0.47031047664373,0.389903483948134,0.0836065620924775,0.355367513080914,0.3993602511269
1069,0.168522484205697,0.172962357953272,0.177624962317882,0.0751184325852062,0.111504368792926,0.224021621611216,0.268065872392218,0.289323637873171,0.272724440890876,0.136696339349075,0.18030037332509,0.226001959297811
1070,0.320585135689085,0.341712814778443,0.322305191988225,0.221589156130627,0.251385076899169,0.262597551018479,0.42465275319137,0.405255007798089,0.401501187925489,0.252176161374501,0.333680020185703,0.276224770858028
1071,0.180711986621908,0.175171030032788,0.140847598264011,0.0721643147511308,0.11403083066712,0.105272652731623,0.189464333448695,0.204596269670366,0.158074399256925,0.0671686050069727,0.126920634255734,0.132654535499068
1076,0.387156294584787,0.492682513225203,0.434743752160057,0.0975716591303485,0.283606317300218,0.391364351630796,0.813405148549879,0.964498577839239,0.919428428477949,0.213489231070342,0.560310375108785,0.812829726984373
1089,0.300268800358689,0.300350363011282,0.310471100944198,0.0448550029891692,0.1878517321254,0.196984394205482,0.184491022520202,0.190624787805201,0.189425665565358,0.0610094611952245,0.129817365970536,0.138069739454904
1093,0.480101008688298,0.542214624576611,0.48900528812358,0.218077155404862,0.412136406822121,0.463851273926007,0.54064079727937,0.642712017638222,0.53370064926916,0.225510112283673,0.49154948853526,0.568821561948449
1094,0.896753858100104,0.8603022762109,0.864365812095987,0.881931299756647,0.888834850307362,0.825182124487593,0.204516932389489,0.239160057917626,0.222791215743189,0.115654619828113,0.216054067608178,0.224166733202784
1095,0.111919086030297,0.115298083476176,0.117626028082548,0.0854369618119488,0.0720597078993829,0.075002975753588,0.142292800491612,0.131904209668229,0.138747886938984,0.0602389084814291,0.107080587398034,0.0929796019439796
1096,0.456202580472241,0.467927932765222,0.481555972692904,0.188485853733758,0.313367646768593,0.378059176325826,0.497968614261771,0.485317347953624,0.479425954038373,0.216595935534014,0.366618551633962,0.432202003749443
1097,0.0812668183175321,0.0853915315944912,0.0730286328485722,0.0435775032827713,0.0722917740235187,0.0732480217612395,0.11977307988327,0.132707614531397,0.107417271034017,0.0635927900279743,0.0906805455344014,0.0994860093390863
1101,0.267936088919413,0.357177074595958,0.240951683193054,0.082567697646243,0.22964586217875,0.155862194853966,0.35055762649488,0.302573113668861,0.2792480710808,0.0817410068881126,0.211953541531767,0.176101406631608
